_id,ปี,เดือน,ประเภทการทำการประมง,เครื่องมือ,จังหวัด,ชนิดสัตว์น้ำ,ปริมาณ (ตัน),มูลค่า (พันบาท)
83,2562,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,สมุทรปราการ,ปลาทู,2,102
486,2562,มกราคม,พาณิชย์,อวนลากคู่,ชลบุรี,ปลาทู,1,51
515,2562,มกราคม,พาณิชย์,อวนลากคู่,สมุทรปราการ,ปลาทู,9,457
547,2562,มกราคม,พาณิชย์,อวนลากคู่,สมุทรสาคร,ปลาทู,6,305
578,2562,มกราคม,พาณิชย์,อวนลากคู่,สมุทรสงคราม,ปลาทู,38,1932
611,2562,มกราคม,พาณิชย์,อวนลากคู่,เพชรบุรี,ปลาทู,3,152
1140,2562,มกราคม,พาณิชย์,อวนล้อมจับ,สมุทรสาคร,ปลาทู,405,20586
1162,2562,มกราคม,พาณิชย์,อวนล้อมจับ,เพชรบุรี,ปลาทู,14,712
1883,2562,มกราคม,พาณิชย์,อวนติดตาอื่นๆ,เพชรบุรี,ปลาทู,1,51
2071,2562,กุมภาพันธ์,พาณิชย์,อวนลากแผ่นตะเฆ่,สมุทรปราการ,ปลาทู,2,102
2517,2562,กุมภาพันธ์,พาณิชย์,อวนลากคู่,สมุทรปราการ,ปลาทู,1,51
2545,2562,กุมภาพันธ์,พาณิชย์,อวนลากคู่,สมุทรสาคร,ปลาทู,1,51
2573,2562,กุมภาพันธ์,พาณิชย์,อวนลากคู่,สมุทรสงคราม,ปลาทู,2,102
3114,2562,กุมภาพันธ์,พาณิชย์,อวนล้อมจับ,สมุทรปราการ,ปลาทู,1,51
3123,2562,กุมภาพันธ์,พาณิชย์,อวนล้อมจับ,สมุทรสาคร,ปลาทู,41,2084
3860,2562,กุมภาพันธ์,พาณิชย์,อวนติดตาอื่นๆ,เพชรบุรี,ปลาทู,1,51
4055,2562,มีนาคม,พาณิชย์,อวนลากแผ่นตะเฆ่,สมุทรปราการ,ปลาทู,1,51
