จังหวัด,ปี,เดือน,ละติจูด,ลองจิจูด,คลอโรฟิลล์-เอ,อุณหภูมิผิวทะเล
เพรชบุรี,2562,มกราคม,13.0,100.18,3.06,28.32
เพรชบุรี,2562,กุมภาพันธ์,13.0,100.18,2.44,28.72
เพรชบุรี,2562,มีนาคม,13.0,100.18,2.62,29.75
เพรชบุรี,2562,เมษายน,13.0,100.18,2.40,31.65
เพรชบุรี,2562,พฤษภาคม,13.0,100.18,3.56,30.40
เพรชบุรี,2562,มิถุนายน,13.0,100.18,2.33,31.14
เพรชบุรี,2562,กรกฎาคม,13.0,100.18,2.40,30.30
เพรชบุรี,2562,สิงหาคม,13.0,100.18,2.01,29.88
เพรชบุรี,2562,กันยายน,13.0,100.18,4.53,29.88
เพรชบุรี,2562,ตุลาคม,13.0,100.18,4.30,29.94
เพรชบุรี,2562,พฤศจิกายน,13.0,100.18,2.82,29.19
เพรชบุรี,2562,ธันวาคม,13.0,100.18,1.42,26.63
เพรชบุรี,2563,มกราคม,13.0,100.18,1.87,28.10 
เพรชบุรี,2563,กุมภาพันธ์,13.0,100.18,1.93,28.35
เพรชบุรี,2563,มีนาคม,13.0,100.18,1.63,29.37
เพรชบุรี,2563,เมษายน,13.0,100.18,1.67,30.80
เพรชบุรี,2563,พฤษภาคม,13.0,100.18,1.85,30.86
เพรชบุรี,2563,มิถุนายน,13.0,100.18,2.68,30.48
เพรชบุรี,2563,กรกฎาคม,13.0,100.18,2.25,30.80
เพรชบุรี,2563,สิงหาคม,13.0,100.18,2.04,29.711
เพรชบุรี,2563,กันยายน,13.0,100.18,2.00,31.33
เพรชบุรี,2563,ตุลาคม,13.0,100.18,2.27,29.75
เพรชบุรี,2563,พฤศจิกายน,13.0,100.18,2.20,27.84
เพรชบุรี,2563,ธันวาคม,13.0,100.18,2.01,27.60
เพรชบุรี,2564,มกราคม,13.0,100.18,1.52,26.19
เพรชบุรี,2564,กุมภาพันธ์,13.0,100.18,1.46,26.53
เพรชบุรี,2564,มีนาคม,13.0,100.18,1.91,29.25
เพรชบุรี,2564,เมษายน,13.0,100.18,2.22,30.16
เพรชบุรี,2564,พฤษภาคม,13.0,100.18,2.87,31.49
เพรชบุรี,2564,มิถุนายน,13.0,100.18,2.53,30.80
เพรชบุรี,2564,กรกฎาคม,13.0,100.18,2.06,29.89
เพรชบุรี,2564,สิงหาคม,13.0,100.18,3.00,29.49
เพรชบุรี,2564,กันยายน,13.0,100.18,2.39,29.55
เพรชบุรี,2564,ตุลาคม,13.0,100.18,2.68,28.79
เพรชบุรี,2564,พฤศจิกายน,13.0,100.18,2.58,29.75
เพรชบุรี,2564,ธันวาคม,13.0,100.18,2.09,26.94
เพรชบุรี,2565,มกราคม,13.0,100.18,1.46,27.73
เพรชบุรี,2565,กุมภาพันธ์,13.0,100.18,1.36,29.53
เพรชบุรี,2565,มีนาคม,13.0,100.18,2.69,28.96
เพรชบุรี,2565,เมษายน,13.0,100.18,2.13,30.14
เพรชบุรี,2565,พฤษภาคม,13.0,100.18,1.84,30.20
เพรชบุรี,2565,มิถุนายน,13.0,100.18,8.21,30.72
เพรชบุรี,2565,กรกฎาคม,13.0,100.18,1.42,30.08
เพรชบุรี,2565,สิงหาคม,13.0,100.18,2.30,30.40
เพรชบุรี,2565,กันยายน,13.0,100.18,4.46,30.31
เพรชบุรี,2565,ตุลาคม,13.0,100.18,1.80,29.72
เพรชบุรี,2565,พฤศจิกายน,13.0,100.18,2.00,29.65
เพรชบุรี,2565,ธันวาคม,13.0,100.18,1.91,28.38
เพรชบุรี,2566,มกราคม,13.0,100.18,1.12,26.39
เพรชบุรี,2566,มีนาคม,13.0,100.18,1.30,28.19
เพรชบุรี,2566,เมษายน,13.0,100.18,1.74,30.67
เพรชบุรี,2566,พฤษภาคม,13.0,100.18,1.94,31.04
เพรชบุรี,2566,มิถุนายน,13.0,100.18,1.91,30.23
เพรชบุรี,2566,กรกฎาคม,13.0,100.18,2.07,30.36
เพรชบุรี,2566,สิงหาคม,13.0,100.18,2.37,30.49
เพรชบุรี,2566,กันยายน,13.0,100.18,2.17,29.77
