rank_input,name,family,parameters,mean_accuracy,min_accuracy,std_accuracy,mean_macro_f1,accuracy_2565,f1_2565,accuracy_2566,f1_2566,status,error
1,RandomForest_Baseline,Random Forest,"{""n_estimators"": 300, ""max_depth"": null, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""class_weight"": ""balanced""}",0.5537878787878788,0.4909090909090909,0.0628787878787879,0.4746216910844274,0.4909090909090909,0.3737891737891738,0.6166666666666667,0.5754542083796811,OK,
2,ExtraTrees_300,Extra Trees,"{""n_estimators"": 300, ""max_depth"": null, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""class_weight"": ""balanced""}",0.5462121212121211,0.509090909090909,0.037121212121212166,0.4629037026850483,0.509090909090909,0.383921568627451,0.5833333333333334,0.5418858367426456,OK,
3,ExtraTrees_500_leaf2,Extra Trees,"{""n_estimators"": 500, ""max_depth"": null, ""min_samples_leaf"": 2, ""max_features"": ""sqrt"", ""class_weight"": ""balanced""}",0.5878787878787879,0.509090909090909,0.0787878787878788,0.47658040488922837,0.509090909090909,0.3543417366946779,0.6666666666666666,0.5988190730837789,OK,
4,ExtraTrees_depth10,Extra Trees,"{""n_estimators"": 400, ""max_depth"": 10, ""min_samples_leaf"": 2, ""max_features"": 0.7, ""class_weight"": ""balanced""}",0.5962121212121212,0.509090909090909,0.08712121212121215,0.48523998971569304,0.509090909090909,0.3543417366946779,0.6833333333333333,0.6161382427367083,OK,
5,GradientBoosting_lr005,Gradient Boosting,"{""n_estimators"": 200, ""learning_rate"": 0.05, ""max_depth"": 2, ""min_samples_leaf"": 2, ""subsample"": 1.0}",0.553030303030303,0.4727272727272727,0.08030303030303029,0.49509332694682306,0.4727272727272727,0.3797313797313797,0.6333333333333333,0.6104552741622664,OK,
6,GradientBoosting_lr010,Gradient Boosting,"{""n_estimators"": 150, ""learning_rate"": 0.1, ""max_depth"": 2, ""min_samples_leaf"": 2, ""subsample"": 1.0}",0.5371212121212121,0.4909090909090909,0.04621212121212123,0.47602759452476384,0.4909090909090909,0.38969596462133776,0.5833333333333334,0.56235922442819,OK,
7,GradientBoosting_depth3,Gradient Boosting,"{""n_estimators"": 150, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_samples_leaf"": 2, ""subsample"": 0.9}",0.5075757575757576,0.38181818181818183,0.12575757575757573,0.4423905116084078,0.38181818181818183,0.29390873015873015,0.6333333333333333,0.5908722930580854,OK,
8,HistGradientBoosting_leaf10,HistGradientBoosting,"{""learning_rate"": 0.05, ""max_iter"": 200, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 10, ""l2_regularization"": 0.1}",0.5681818181818181,0.43636363636363634,0.1318181818181818,0.5214022535294465,0.43636363636363634,0.35644087069525665,0.7,0.6863636363636364,OK,
9,HistGradientBoosting_leaf20,HistGradientBoosting,"{""learning_rate"": 0.08, ""max_iter"": 200, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 20, ""l2_regularization"": 0.1}",0.5242424242424242,0.38181818181818183,0.1424242424242424,0.4720606586964853,0.38181818181818183,0.27445652173913043,0.6666666666666666,0.6696647956538401,OK,
10,SVM_RBF_C1,SVM,"{""C"": 1.0, ""gamma"": ""scale"", ""class_weight"": ""balanced""}",0.5280303030303031,0.4727272727272727,0.055303030303030326,0.40948737642286026,0.4727272727272727,0.29365079365079366,0.5833333333333334,0.5253239591949269,OK,
11,SVM_RBF_C3,SVM,"{""C"": 3.0, ""gamma"": ""scale"", ""class_weight"": ""balanced""}",0.5628787878787879,0.509090909090909,0.05378787878787883,0.45619935619935625,0.509090909090909,0.35311355311355314,0.6166666666666667,0.5592851592851593,OK,
12,SVM_RBF_C10,SVM,"{""C"": 10.0, ""gamma"": ""scale"", ""class_weight"": ""balanced""}",0.5007575757575757,0.41818181818181815,0.08257575757575761,0.39135129404994473,0.41818181818181815,0.2686868686868687,0.5833333333333334,0.5140157194130207,OK,
13,Logistic_C01,Logistic Regression,"{""C"": 0.1, ""class_weight"": ""balanced"", ""max_iter"": 3000}",0.5280303030303031,0.38333333333333336,0.14469696969696969,0.28512234625916055,0.6727272727272727,0.32094497263036587,0.38333333333333336,0.24929971988795518,OK,
14,Logistic_C1,Logistic Regression,"{""C"": 1.0, ""class_weight"": ""balanced"", ""max_iter"": 3000}",0.5106060606060606,0.36666666666666664,0.14393939393939395,0.2762732365673542,0.6545454545454545,0.31277056277056275,0.36666666666666664,0.23977591036414567,OK,
15,Logistic_C10,Logistic Regression,"{""C"": 10.0, ""class_weight"": ""balanced"", ""max_iter"": 3000}",0.5106060606060606,0.36666666666666664,0.14393939393939395,0.2762732365673542,0.6545454545454545,0.31277056277056275,0.36666666666666664,0.23977591036414567,OK,
