experiment,feature_set,features,q_low,q_high,config_name,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,class_weight,mean_accuracy,min_accuracy,std_accuracy,mean_macro_f1,accuracy_2565,f1_2565,rows_2565,accuracy_2566,f1_2566,rows_2566,status,error
1,BASE,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_id",0.31,0.64,RF_FULL,300,,2,1,sqrt,balanced,0.578030303030303,0.4727272727272727,0.10530303030303031,0.504692456639064,0.4727272727272727,0.36526181353767556,55,0.6833333333333333,0.6441230997404525,60,OK,
2,BASE,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_id",0.31,0.64,RF_DEPTH_6_BAL,350,6.0,2,2,sqrt,balanced,0.5954545454545455,0.4909090909090909,0.10454545454545452,0.5298770211270212,0.4909090909090909,0.4128523328523328,55,0.7,0.6469017094017094,60,OK,
3,BASE,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_id",0.31,0.64,RF_DEPTH_8_BAL,400,8.0,4,2,sqrt,balanced,0.5507575757575758,0.41818181818181815,0.1325757575757576,0.4718892218892219,0.41818181818181815,0.3158323158323158,55,0.6833333333333333,0.627946127946128,60,OK,
4,BASE,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_id",0.31,0.64,RF_DEPTH_10_BAL,400,10.0,4,2,sqrt,balanced,0.568939393939394,0.45454545454545453,0.11439393939393941,0.4876289623747251,0.45454545454545453,0.3353846153846154,55,0.6833333333333333,0.6398733093648348,60,OK,
5,BASE,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_id",0.31,0.64,RF_LEAF_3_BAL,400,,6,3,sqrt,balanced,0.5946969696969697,0.4727272727272727,0.12196969696969698,0.5104937259723279,0.4727272727272727,0.3457309941520468,55,0.7166666666666667,0.6752564577926091,60,OK,
6,BASE,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_id",0.31,0.64,RF_FEATURE_07_BAL,400,10.0,4,2,0.7,balanced_subsample,0.5939393939393939,0.45454545454545453,0.13939393939393938,0.5278499986537165,0.45454545454545453,0.3581603581603581,55,0.7333333333333333,0.6975396391470748,60,OK,
7,BASE_NO_YEAR,"sst,chlorophyll_a,rainfall,wind_speed,month,station_id",0.31,0.64,RF_FULL,300,,2,1,sqrt,balanced,0.49772727272727274,0.34545454545454546,0.15227272727272728,0.45701320738132023,0.34545454545454546,0.27515369620632774,55,0.65,0.6388727185563127,60,OK,
8,BASE_NO_YEAR,"sst,chlorophyll_a,rainfall,wind_speed,month,station_id",0.31,0.64,RF_DEPTH_6_BAL,350,6.0,2,2,sqrt,balanced,0.5409090909090909,0.38181818181818183,0.15909090909090906,0.4997278445554308,0.38181818181818183,0.3121131741821397,55,0.7,0.6873425149287219,60,OK,
9,BASE_NO_YEAR,"sst,chlorophyll_a,rainfall,wind_speed,month,station_id",0.31,0.64,RF_DEPTH_8_BAL,400,8.0,4,2,sqrt,balanced,0.5234848484848484,0.36363636363636365,0.15984848484848485,0.4834295139558298,0.36363636363636365,0.29734335839598997,55,0.6833333333333333,0.6695156695156695,60,OK,
10,BASE_NO_YEAR,"sst,chlorophyll_a,rainfall,wind_speed,month,station_id",0.31,0.64,RF_DEPTH_10_BAL,400,10.0,4,2,sqrt,balanced,0.5333333333333333,0.4,0.1333333333333333,0.48647581974968235,0.4,0.32789286461602846,55,0.6666666666666666,0.6450587748833363,60,OK,
11,BASE_NO_YEAR,"sst,chlorophyll_a,rainfall,wind_speed,month,station_id",0.31,0.64,RF_LEAF_3_BAL,400,,6,3,sqrt,balanced,0.5325757575757576,0.38181818181818183,0.15075757575757576,0.48242181138275464,0.38181818181818183,0.3050145629364494,55,0.6833333333333333,0.6598290598290598,60,OK,
12,BASE_NO_YEAR,"sst,chlorophyll_a,rainfall,wind_speed,month,station_id",0.31,0.64,RF_FEATURE_07_BAL,400,10.0,4,2,0.7,balanced_subsample,0.5325757575757576,0.38181818181818183,0.15075757575757576,0.486548604464909,0.38181818181818183,0.3050145629364494,55,0.6833333333333333,0.6680826459933685,60,OK,
13,BASE_NO_STATION,"sst,chlorophyll_a,rainfall,wind_speed,month,year",0.31,0.64,RF_FULL,300,,2,1,sqrt,balanced,0.4318181818181818,0.36363636363636365,0.06818181818181818,0.37202343653956554,0.36363636363636365,0.2629222629222629,55,0.5,0.4811246101568682,60,OK,
14,BASE_NO_STATION,"sst,chlorophyll_a,rainfall,wind_speed,month,year",0.31,0.64,RF_DEPTH_6_BAL,350,6.0,2,2,sqrt,balanced,0.4666666666666667,0.4,0.06666666666666665,0.40094208602449977,0.4,0.282387102014295,55,0.5333333333333333,0.5194970700347045,60,OK,
15,BASE_NO_STATION,"sst,chlorophyll_a,rainfall,wind_speed,month,year",0.31,0.64,RF_DEPTH_8_BAL,400,8.0,4,2,sqrt,balanced,0.47651515151515156,0.43636363636363634,0.04015151515151519,0.41390160765160766,0.43636363636363634,0.3264143264143264,55,0.5166666666666667,0.5013888888888889,60,OK,
16,BASE_NO_STATION,"sst,chlorophyll_a,rainfall,wind_speed,month,year",0.31,0.64,RF_DEPTH_10_BAL,400,10.0,4,2,sqrt,balanced,0.4492424242424243,0.38181818181818183,0.06742424242424244,0.38485107257390794,0.38181818181818183,0.2745007680491552,55,0.5166666666666667,0.4952013770986607,60,OK,
17,BASE_NO_STATION,"sst,chlorophyll_a,rainfall,wind_speed,month,year",0.31,0.64,RF_LEAF_3_BAL,400,,6,3,sqrt,balanced,0.4840909090909091,0.41818181818181815,0.06590909090909094,0.4323709488320041,0.41818181818181815,0.3363392377885131,55,0.55,0.5284026598754952,60,OK,
