experiment,feature_set,features,q_low,q_high,config_name,decision_name,mean_accuracy,min_accuracy,std_accuracy,mean_macro_f1,accuracy_2565,f1_2565,accuracy_2566,f1_2566,status,error
1,BASE_RAW,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_id",0.32,0.65,FULL_BALANCED,P_NORMAL,0.5704545454545454,0.4909090909090909,0.07954545454545456,0.4933060403648639,0.4909090909090909,0.3755009696186167,0.65,0.6111111111111112,OK,
2,BASE_RAW,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_id",0.32,0.65,FULL_BALANCED,P_LOW_105,0.5704545454545454,0.4909090909090909,0.07954545454545456,0.4926043818994001,0.4909090909090909,0.3755009696186167,0.65,0.6097077941801835,OK,
3,BASE_RAW,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_id",0.32,0.65,FULL_BALANCED,P_LOW_110,0.553030303030303,0.4727272727272727,0.08030303030303029,0.481732448726617,0.4727272727272727,0.36614688979039894,0.6333333333333333,0.5973180076628352,OK,
4,BASE_RAW,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_id",0.32,0.65,FULL_BALANCED,P_MED_105,0.5787878787878787,0.4909090909090909,0.08787878787878786,0.5025732817441741,0.4909090909090909,0.3755009696186167,0.6666666666666666,0.6296455938697317,OK,
5,BASE_RAW,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_id",0.32,0.65,FULL_BALANCED,P_LOW_105_MED_105,0.5787878787878787,0.4909090909090909,0.08787878787878786,0.5020249141622606,0.4909090909090909,0.3755009696186167,0.6666666666666666,0.6285488587059045,OK,
6,BASE_RAW,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_id",0.32,0.65,FULL_LOW_12_MED_12,P_NORMAL,0.568939393939394,0.45454545454545453,0.11439393939393941,0.5067662997098481,0.45454545454545453,0.3557945041816009,0.6833333333333333,0.6577380952380952,OK,
7,BASE_RAW,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_id",0.32,0.65,FULL_LOW_12_MED_12,P_LOW_105,0.5522727272727272,0.45454545454545453,0.09772727272727275,0.49017946702956194,0.45454545454545453,0.3557945041816009,0.65,0.6245644298775229,OK,
8,BASE_RAW,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_id",0.32,0.65,FULL_LOW_12_MED_12,P_LOW_110,0.543939393939394,0.45454545454545453,0.08939393939393939,0.4906527589393279,0.45454545454545453,0.3694149791063967,0.6333333333333333,0.6118905387722592,OK,
9,BASE_RAW,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_id",0.32,0.65,FULL_LOW_12_MED_12,P_MED_105,0.5515151515151515,0.43636363636363634,0.11515151515151514,0.4902301765824268,0.43636363636363634,0.3444923784872016,0.6666666666666666,0.635967974677652,OK,
10,BASE_RAW,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_id",0.32,0.65,FULL_LOW_12_MED_12,P_LOW_105_MED_105,0.5515151515151515,0.43636363636363634,0.11515151515151514,0.49459467409208563,0.43636363636363634,0.3444923784872016,0.6666666666666666,0.6446969696969697,OK,
11,BASE_RAW,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_id",0.32,0.65,FULL_LOW_12_MED_14,P_NORMAL,0.5431818181818182,0.43636363636363634,0.10681818181818184,0.4842664742664743,0.43636363636363634,0.3453006253006253,0.65,0.6232323232323232,OK,
12,BASE_RAW,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_id",0.32,0.65,FULL_LOW_12_MED_14,P_LOW_105,0.5340909090909091,0.41818181818181815,0.11590909090909093,0.48012272083310337,0.41818181818181815,0.33701311843388343,0.65,0.6232323232323232,OK,
13,BASE_RAW,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_id",0.32,0.65,FULL_LOW_12_MED_14,P_LOW_110,0.5174242424242425,0.41818181818181815,0.09924242424242427,0.47162066448782447,0.41818181818181815,0.3519650036306962,0.6166666666666667,0.5912763253449528,OK,
14,BASE_RAW,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_id",0.32,0.65,FULL_LOW_12_MED_14,P_MED_105,0.525,0.4,0.125,0.4728456698128829,0.4,0.3224590163934426,0.65,0.6232323232323232,OK,
15,BASE_RAW,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_id",0.32,0.65,FULL_LOW_12_MED_14,P_LOW_105_MED_105,0.525,0.4,0.125,0.4733682983682984,0.4,0.3235042735042735,0.65,0.6232323232323232,OK,
16,BASE_RAW,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_id",0.32,0.65,LEAF2_LOW_13_MED_13,P_NORMAL,0.5507575757575758,0.41818181818181815,0.1325757575757576,0.5003043716328945,0.41818181818181815,0.3512265512265513,0.6833333333333333,0.6493821920392379,OK,
17,BASE_RAW,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_id",0.32,0.65,LEAF2_LOW_13_MED_13,P_LOW_105,0.5492424242424243,0.38181818181818183,0.16742424242424242,0.5020989814031741,0.38181818181818183,0.3109496906107076,0.7166666666666667,0.6932482721956407,OK,
18,BASE_RAW,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_id",0.32,0.65,LEAF2_LOW_13_MED_13,P_LOW_110,0.5409090909090909,0.38181818181818183,0.15909090909090906,0.4914652608303054,0.38181818181818183,0.3109496906107076,0.7,0.6719808310499032,OK,
19,BASE_RAW,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_id",0.32,0.65,LEAF2_LOW_13_MED_13,P_MED_105,0.5590909090909091,0.41818181818181815,0.1409090909090909,0.5096506540054927,0.41818181818181815,0.3512265512265513,0.7,0.6680747567844341,OK,
20,BASE_RAW,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_id",0.32,0.65,LEAF2_LOW_13_MED_13,P_LOW_105_MED_105,0.55,0.4,0.14999999999999997,0.5043701626934408,0.4,0.3406655686024476,0.7,0.6680747567844341,OK,
21,MONTH_CYCLIC,"sst,chlorophyll_a,rainfall,wind_speed,month_sin,month_cos,year,station_id",0.32,0.65,FULL_BALANCED,P_NORMAL,0.5878787878787879,0.509090909090909,0.0787878787878788,0.49559265638886696,0.509090909090909,0.3685507246376812,0.6666666666666666,0.6226345881400527,OK,
22,MONTH_CYCLIC,"sst,chlorophyll_a,rainfall,wind_speed,month_sin,month_cos,year,station_id",0.32,0.65,FULL_BALANCED,P_LOW_105,0.571969696969697,0.5272727272727272,0.04469696969696974,0.48619975724318687,0.5272727272727272,0.39621337755666114,0.6166666666666667,0.5761861369297127,OK,
23,MONTH_CYCLIC,"sst,chlorophyll_a,rainfall,wind_speed,month_sin,month_cos,year,station_id",0.32,0.65,FULL_BALANCED,P_LOW_110,0.5795454545454546,0.509090909090909,0.07045454545454549,0.5019955191007822,0.509090909090909,0.3870851370851371,0.65,0.6169059011164274,OK,
24,MONTH_CYCLIC,"sst,chlorophyll_a,rainfall,wind_speed,month_sin,month_cos,year,station_id",0.32,0.65,FULL_BALANCED,P_MED_105,0.5878787878787879,0.509090909090909,0.0787878787878788,0.49559265638886696,0.509090909090909,0.3685507246376812,0.6666666666666666,0.6226345881400527,OK,
