province,year,month,sst,chlor_a,rainfall,wind_speed,predicted_mackerel_ton
สมุทรปราการ,2570,1,24.4955,2.6407,12.02,13.5802,4.1196
สมุทรปราการ,2570,2,25.178,5.949,36.3929,13.9618,1.75
สมุทรปราการ,2570,3,28.2749,4.8223,43.66,15.3512,0.0
สมุทรปราการ,2570,4,28.9725,11.38,34.91,17.0124,0.0
สมุทรปราการ,2570,5,29.9802,9.7967,78.9757,15.1708,0.0
สมุทรปราการ,2570,6,29.7044,5.1607,89.6329,16.9029,1.4721
สมุทรปราการ,2570,7,28.9378,11.4503,97.894,17.8895,1.3926
สมุทรปราการ,2570,8,27.46,21.1751,95.6125,17.3653,1.3316
สมุทรปราการ,2570,9,28.446,23.0433,99.9965,15.3815,5.783
สมุทรปราการ,2570,10,28.5196,7.1009,99.9965,13.178,8.621
สมุทรปราการ,2570,11,27.7753,6.3709,81.8414,12.9987,7.9902
สมุทรปราการ,2570,12,25.53,3.9149,11.4714,13.059,7.0815
