province,year,month,sst,chlor_a,rainfall,wind_speed,actual_mackerel_ton,predicted_mackerel_ton,absolute_error_ton
เพชรบุรี,2565,1,27.73,1.46,12.4,14.3677,56.0,14.7943,41.2057
เพชรบุรี,2565,2,29.53,1.36,74.8,16.3036,19.0,3.5,15.5
เพชรบุรี,2565,3,28.96,2.69,59.3,17.8129,27.0,9.5,17.5
เพชรบุรี,2565,4,30.14,2.13,37.0,18.3133,8.0,8.0,0.0
เพชรบุรี,2565,5,30.2,1.84,100.0,16.4161,20.0,12.5,7.5
เพชรบุรี,2565,6,30.72,8.21,100.0,15.9633,3.0,17.442,14.442
เพชรบุรี,2565,7,30.08,1.42,100.0,14.6645,28.0,16.1159,11.8841
เพชรบุรี,2565,8,30.4,2.3,100.0,15.3742,25.0,16.5265,8.4735
เพชรบุรี,2565,9,30.31,4.46,100.0,13.5067,29.0,17.1652,11.8348
เพชรบุรี,2565,10,29.72,1.8,100.0,14.1097,28.0,15.973,12.027
เพชรบุรี,2565,11,29.65,2.0,100.0,14.6367,170.0,15.5,154.5
เพชรบุรี,2565,12,28.38,1.91,3.6,17.2903,68.0,14.6855,53.3145
